Quintile	n	2K	NDR	FPKM
1	2119	18.8338180445	11.77028944	0.0009773264
2	2113	18.6744801574	11.6122134159	0.001
3	2113	17.0536615676	10.0966081463	0.0440912208
4	2113	15.8996149061	9.039619962	0.3031727714
5	2113	15.1847042418	8.2409490626	1.0373727209
6	2113	14.2441866817	7.3894122981	2.5461265657
7	2113	14.0379606575	7.2177819178	5.1211248707
8	2113	13.6692243718	6.8732540696	10.1659047679
9	2113	13.4121873106	6.9193797412	22.1519454711
10	2112	12.8650669563	6.3642214299	253.9290415185



